"municipality","municipality_code","variable","year","value"
"Gladsaxe Kommune","159","Andel ejerboliger","2026",
"Gladsaxe Kommune","159","Andel indpendlere","2026",
"Gladsaxe Kommune","159","Andel udpendlere","2026",
"Gladsaxe Kommune","159","Befolkningsandel i bymæssig bebyggelse","2026",
"Gladsaxe Kommune","159","Befolkningstæthed (indb/km2)","2026",
"Gladsaxe Kommune","159","Fuldtidsledige pr. 100 17-64/66-årige","2026",
"Gladsaxe Kommune","159","Indbyggertal 1. januar","2026",
"Gladsaxe Kommune","159","Socioøkonomisk indeks","2026","1.05"
"Gladsaxe Kommune","159","Statsgar. udskrivningsgrundlag pr. indb. (fra 2007)","2026",
"Glostrup Kommune","161","Andel 18+-årige","2026",
"Glostrup Kommune","161","Andel 18-66-årige","2026",
"Glostrup Kommune","161","Andel 25-64-årige","2026",
"Glostrup Kommune","161","Andel 25-64-årige med videregående uddannelse","2026",
"Glostrup Kommune","161","Andel 25-64-årige uden erhvervsuddannelse","2026",
"Glostrup Kommune","161","Andel almennyttige boliger","2026",
"Glostrup Kommune","161","Andel ejerboliger","2026",
"Glostrup Kommune","161","Andel indpendlere","2026",
"Glostrup Kommune","161","Andel udpendlere","2026",
"Glostrup Kommune","161","Befolkningsandel i bymæssig bebyggelse","2026",
"Glostrup Kommune","161","Befolkningstæthed (indb/km2)","2026",
"Glostrup Kommune","161","Fuldtidsledige pr. 100 17-64/66-årige","2026",
"Glostrup Kommune","161","Indbyggertal 1. januar","2026",
"Glostrup Kommune","161","Socioøkonomisk indeks","2026","1.19"
"Glostrup Kommune","161","Statsgar. udskrivningsgrundlag pr. indb. (fra 2007)","2026",
"Herlev Kommune","163","Andel 18+-årige","2026",
"Herlev Kommune","163","Andel 18-66-årige","2026",
"Herlev Kommune","163","Andel 25-64-årige","2026",
"Herlev Kommune","163","Andel 25-64-årige med videregående uddannelse","2026",
"Herlev Kommune","163","Andel 25-64-årige uden erhvervsuddannelse","2026",
"Herlev Kommune","163","Andel almennyttige boliger","2026",
"Herlev Kommune","163","Andel ejerboliger","2026",
"Herlev Kommune","163","Andel indpendlere","2026",
"Herlev Kommune","163","Andel udpendlere","2026",
"Herlev Kommune","163","Befolkningsandel i bymæssig bebyggelse","2026",
"Herlev Kommune","163","Befolkningstæthed (indb/km2)","2026",
"Herlev Kommune","163","Fuldtidsledige pr. 100 17-64/66-årige","2026",
"Herlev Kommune","163","Indbyggertal 1. januar","2026",
"Herlev Kommune","163","Socioøkonomisk indeks","2026","1.22"
"Herlev Kommune","163","Statsgar. udskrivningsgrundlag pr. indb. (fra 2007)","2026",
"Albertslund Kommune","165","Andel 18+-årige","2026",
"Albertslund Kommune","165","Andel 18-66-årige","2026",
"Albertslund Kommune","165","Andel 25-64-årige","2026",
"Albertslund Kommune","165","Andel 25-64-årige med videregående uddannelse","2026",
"Albertslund Kommune","165","Andel 25-64-årige uden erhvervsuddannelse","2026",
"Albertslund Kommune","165","Andel almennyttige boliger","2026",
"Albertslund Kommune","165","Andel ejerboliger","2026",
"Albertslund Kommune","165","Andel indpendlere","2026",
"Albertslund Kommune","165","Andel udpendlere","2026",
"Albertslund Kommune","165","Befolkningsandel i bymæssig bebyggelse","2026",
"Albertslund Kommune","165","Befolkningstæthed (indb/km2)","2026",
"Albertslund Kommune","165","Fuldtidsledige pr. 100 17-64/66-årige","2026",
"Albertslund Kommune","165","Indbyggertal 1. januar","2026",
"Albertslund Kommune","165","Socioøkonomisk indeks","2026","1.5"
"Albertslund Kommune","165","Statsgar. udskrivningsgrundlag pr. indb. (fra 2007)","2026",
"Hvidovre Kommune","167","Andel 18+-årige","2026",
"Hvidovre Kommune","167","Andel 18-66-årige","2026",
"Hvidovre Kommune","167","Andel 25-64-årige","2026",
"Hvidovre Kommune","167","Andel 25-64-årige med videregående uddannelse","2026",
"Hvidovre Kommune","167","Andel 25-64-årige uden erhvervsuddannelse","2026",
"Hvidovre Kommune","167","Andel almennyttige boliger","2026",
"Hvidovre Kommune","167","Andel ejerboliger","2026",
"Hvidovre Kommune","167","Andel indpendlere","2026",
"Hvidovre Kommune","167","Andel udpendlere","2026",
"Hvidovre Kommune","167","Befolkningsandel i bymæssig bebyggelse","2026",
"Hvidovre Kommune","167","Befolkningstæthed (indb/km2)","2026",
"Hvidovre Kommune","167","Fuldtidsledige pr. 100 17-64/66-årige","2026",
"Hvidovre Kommune","167","Indbyggertal 1. januar","2026",
"Hvidovre Kommune","167","Socioøkonomisk indeks","2026","1.17"
"Hvidovre Kommune","167","Statsgar. udskrivningsgrundlag pr. indb. (fra 2007)","2026",
"Høje-Taastrup Kommune","169","Andel 18+-årige","2026",
"Høje-Taastrup Kommune","169","Andel 18-66-årige","2026",
"Høje-Taastrup Kommune","169","Andel 25-64-årige","2026",
"Høje-Taastrup Kommune","169","Andel 25-64-årige med videregående uddannelse","2026",
"Høje-Taastrup Kommune","169","Andel 25-64-årige uden erhvervsuddannelse","2026",
"Høje-Taastrup Kommune","169","Andel almennyttige boliger","2026",
"Høje-Taastrup Kommune","169","Andel ejerboliger","2026",
"Høje-Taastrup Kommune","169","Andel indpendlere","2026",
"Høje-Taastrup Kommune","169","Andel udpendlere","2026",
"Høje-Taastrup Kommune","169","Befolkningsandel i bymæssig bebyggelse","2026",
"Høje-Taastrup Kommune","169","Befolkningstæthed (indb/km2)","2026",
"Høje-Taastrup Kommune","169","Fuldtidsledige pr. 100 17-64/66-årige","2026",
"Høje-Taastrup Kommune","169","Indbyggertal 1. januar","2026",
"Høje-Taastrup Kommune","169","Socioøkonomisk indeks","2026","1.19"
"Høje-Taastrup Kommune","169","Statsgar. udskrivningsgrundlag pr. indb. (fra 2007)","2026",
"Lyngby-Taarbæk Kommune","173","Andel 18+-årige","2026",
"Lyngby-Taarbæk Kommune","173","Andel 18-66-årige","2026",
"Lyngby-Taarbæk Kommune","173","Andel 25-64-årige","2026",
"Lyngby-Taarbæk Kommune","173","Andel 25-64-årige med videregående uddannelse","2026",
"Lyngby-Taarbæk Kommune","173","Andel 25-64-årige uden erhvervsuddannelse","2026",
"Lyngby-Taarbæk Kommune","173","Andel almennyttige boliger","2026",
"Lyngby-Taarbæk Kommune","173","Andel ejerboliger","2026",
"Lyngby-Taarbæk Kommune","173","Andel indpendlere","2026",
"Lyngby-Taarbæk Kommune","173","Andel udpendlere","2026",
"Lyngby-Taarbæk Kommune","173","Befolkningsandel i bymæssig bebyggelse","2026",
"Lyngby-Taarbæk Kommune","173","Befolkningstæthed (indb/km2)","2026",
"Lyngby-Taarbæk Kommune","173","Fuldtidsledige pr. 100 17-64/66-årige","2026",
"Lyngby-Taarbæk Kommune","173","Indbyggertal 1. januar","2026",
"Lyngby-Taarbæk Kommune","173","Socioøkonomisk indeks","2026","0.71"
"Lyngby-Taarbæk Kommune","173","Statsgar. udskrivningsgrundlag pr. indb. (fra 2007)","2026",
"Rødovre Kommune","175","Andel 18+-årige","2026",
"Rødovre Kommune","175","Andel 18-66-årige","2026",
"Rødovre Kommune","175","Andel 25-64-årige","2026",
"Rødovre Kommune","175","Andel 25-64-årige med videregående uddannelse","2026",
"Rødovre Kommune","175","Andel 25-64-årige uden erhvervsuddannelse","2026",
"Rødovre Kommune","175","Andel almennyttige boliger","2026",
"Rødovre Kommune","175","Andel ejerboliger","2026",
"Rødovre Kommune","175","Andel indpendlere","2026",
"Rødovre Kommune","175","Andel udpendlere","2026",
"Rødovre Kommune","175","Befolkningsandel i bymæssig bebyggelse","2026",
"Rødovre Kommune","175","Befolkningstæthed (indb/km2)","2026",
"Rødovre Kommune","175","Fuldtidsledige pr. 100 17-64/66-årige","2026",
"Rødovre Kommune","175","Indbyggertal 1. januar","2026",
"Rødovre Kommune","175","Socioøkonomisk indeks","2026","1.21"
"Rødovre Kommune","175","Statsgar. udskrivningsgrundlag pr. indb. (fra 2007)","2026",
"Ishøj Kommune","183","Andel 18+-årige","2026",
"Ishøj Kommune","183","Andel 18-66-årige","2026",
"Ishøj Kommune","183","Andel 25-64-årige","2026",
"Ishøj Kommune","183","Andel 25-64-årige med videregående uddannelse","2026",
"Ishøj Kommune","183","Andel 25-64-årige uden erhvervsuddannelse","2026",
"Ishøj Kommune","183","Andel almennyttige boliger","2026",
"Ishøj Kommune","183","Andel ejerboliger","2026",
"Ishøj Kommune","183","Andel indpendlere","2026",
"Ishøj Kommune","183","Andel udpendlere","2026",
"Ishøj Kommune","183","Befolkningsandel i bymæssig bebyggelse","2026",
"Ishøj Kommune","183","Befolkningstæthed (indb/km2)","2026",
"Ishøj Kommune","183","Fuldtidsledige pr. 100 17-64/66-årige","2026",
"Ishøj Kommune","183","Indbyggertal 1. januar","2026",
"Ishøj Kommune","183","Socioøkonomisk indeks","2026","1.61"
"Ishøj Kommune","183","Statsgar. udskrivningsgrundlag pr. indb. (fra 2007)","2026",
"Tårnby Kommune","185","Andel 18+-årige","2026",
"Tårnby Kommune","185","Andel 18-66-årige","2026",
"Tårnby Kommune","185","Andel 25-64-årige","2026",
"Tårnby Kommune","185","Andel 25-64-årige med videregående uddannelse","2026",
"Tårnby Kommune","185","Andel 25-64-årige uden erhvervsuddannelse","2026",
"Tårnby Kommune","185","Andel almennyttige boliger","2026",
"Tårnby Kommune","185","Andel ejerboliger","2026",
"Tårnby Kommune","185","Andel indpendlere","2026",
"Tårnby Kommune","185","Andel udpendlere","2026",
"Tårnby Kommune","185","Befolkningsandel i bymæssig bebyggelse","2026",
"Tårnby Kommune","185","Befolkningstæthed (indb/km2)","2026",
"Tårnby Kommune","185","Fuldtidsledige pr. 100 17-64/66-årige","2026",
"Tårnby Kommune","185","Indbyggertal 1. januar","2026",
"Tårnby Kommune","185","Socioøkonomisk indeks","2026","1.06"
"Tårnby Kommune","185","Statsgar. udskrivningsgrundlag pr. indb. (fra 2007)","2026",
"Vallensbæk Kommune","187","Andel 18+-årige","2026",
"Vallensbæk Kommune","187","Andel 18-66-årige","2026",
"Vallensbæk Kommune","187","Andel 25-64-årige","2026",
"Vallensbæk Kommune","187","Andel 25-64-årige med videregående uddannelse","2026",
"Vallensbæk Kommune","187","Andel 25-64-årige uden erhvervsuddannelse","2026",
"Vallensbæk Kommune","187","Andel almennyttige boliger","2026",
"Vallensbæk Kommune","187","Andel ejerboliger","2026",
"Vallensbæk Kommune","187","Andel indpendlere","2026",
"Vallensbæk Kommune","187","Andel udpendlere","2026",
"Vallensbæk Kommune","187","Befolkningsandel i bymæssig bebyggelse","2026",
"Vallensbæk Kommune","187","Befolkningstæthed (indb/km2)","2026",
"Vallensbæk Kommune","187","Fuldtidsledige pr. 100 17-64/66-årige","2026",
"Vallensbæk Kommune","187","Indbyggertal 1. januar","2026",
"Vallensbæk Kommune","187","Socioøkonomisk indeks","2026","0.84"
"Vallensbæk Kommune","187","Statsgar. udskrivningsgrundlag pr. indb. (fra 2007)","2026",
"Furesø Kommune","190","Andel 18+-årige","2026",
"Furesø Kommune","190","Andel 18-66-årige","2026",
"Furesø Kommune","190","Andel 25-64-årige","2026",
"Furesø Kommune","190","Andel 25-64-årige med videregående uddannelse","2026",
"Furesø Kommune","190","Andel 25-64-årige uden erhvervsuddannelse","2026",
"Furesø Kommune","190","Andel almennyttige boliger","2026",
"Furesø Kommune","190","Andel ejerboliger","2026",
"Furesø Kommune","190","Andel indpendlere","2026",
"Furesø Kommune","190","Andel udpendlere","2026",
"Furesø Kommune","190","Befolkningsandel i bymæssig bebyggelse","2026",
"Furesø Kommune","190","Befolkningstæthed (indb/km2)","2026",
"Furesø Kommune","190","Fuldtidsledige pr. 100 17-64/66-årige","2026",
"Furesø Kommune","190","Indbyggertal 1. januar","2026",
"Furesø Kommune","190","Socioøkonomisk indeks","2026","0.73"
"Furesø Kommune","190","Statsgar. udskrivningsgrundlag pr. indb. (fra 2007)","2026",
"Allerød Kommune","201","Andel 18+-årige","2026",
"Allerød Kommune","201","Andel 18-66-årige","2026",
"Allerød Kommune","201","Andel 25-64-årige","2026",
"Allerød Kommune","201","Andel 25-64-årige med videregående uddannelse","2026",
"Allerød Kommune","201","Andel 25-64-årige uden erhvervsuddannelse","2026",
"Allerød Kommune","201","Andel almennyttige boliger","2026",
"Allerød Kommune","201","Andel ejerboliger","2026",
"Allerød Kommune","201","Andel indpendlere","2026",
"Allerød Kommune","201","Andel udpendlere","2026",
"Allerød Kommune","201","Befolkningsandel i bymæssig bebyggelse","2026",
"Allerød Kommune","201","Befolkningstæthed (indb/km2)","2026",
"Allerød Kommune","201","Fuldtidsledige pr. 100 17-64/66-årige","2026",
"Allerød Kommune","201","Indbyggertal 1. januar","2026",
"Allerød Kommune","201","Socioøkonomisk indeks","2026","0.52"
"Allerød Kommune","201","Statsgar. udskrivningsgrundlag pr. indb. (fra 2007)","2026",
"Fredensborg Kommune","210","Andel 18+-årige","2026",
"Fredensborg Kommune","210","Andel 18-66-årige","2026",
"Fredensborg Kommune","210","Andel 25-64-årige","2026",
"Fredensborg Kommune","210","Andel 25-64-årige med videregående uddannelse","2026",
"Fredensborg Kommune","210","Andel 25-64-årige uden erhvervsuddannelse","2026",
"Fredensborg Kommune","210","Andel almennyttige boliger","2026",
"Fredensborg Kommune","210","Andel ejerboliger","2026",
"Fredensborg Kommune","210","Andel indpendlere","2026",
"Fredensborg Kommune","210","Andel udpendlere","2026",
"Fredensborg Kommune","210","Befolkningsandel i bymæssig bebyggelse","2026",
"Fredensborg Kommune","210","Befolkningstæthed (indb/km2)","2026",
"Fredensborg Kommune","210","Fuldtidsledige pr. 100 17-64/66-årige","2026",
"Fredensborg Kommune","210","Indbyggertal 1. januar","2026",
"Fredensborg Kommune","210","Socioøkonomisk indeks","2026","0.9"
"Fredensborg Kommune","210","Statsgar. udskrivningsgrundlag pr. indb. (fra 2007)","2026",
"Helsingør Kommune","217","Andel 18+-årige","2026",
"Helsingør Kommune","217","Andel 18-66-årige","2026",
"Helsingør Kommune","217","Andel 25-64-årige","2026",
"Helsingør Kommune","217","Andel 25-64-årige med videregående uddannelse","2026",
"Helsingør Kommune","217","Andel 25-64-årige uden erhvervsuddannelse","2026",
"Helsingør Kommune","217","Andel almennyttige boliger","2026",
"Helsingør Kommune","217","Andel ejerboliger","2026",
"Helsingør Kommune","217","Andel indpendlere","2026",
"Helsingør Kommune","217","Andel udpendlere","2026",
"Helsingør Kommune","217","Befolkningsandel i bymæssig bebyggelse","2026",
"Helsingør Kommune","217","Befolkningstæthed (indb/km2)","2026",
"Helsingør Kommune","217","Fuldtidsledige pr. 100 17-64/66-årige","2026",
"Helsingør Kommune","217","Indbyggertal 1. januar","2026",
"Helsingør Kommune","217","Socioøkonomisk indeks","2026","1.01"
"Helsingør Kommune","217","Statsgar. udskrivningsgrundlag pr. indb. (fra 2007)","2026",
"Hillerød Kommune","219","Andel 18+-årige","2026",
"Hillerød Kommune","219","Andel 18-66-årige","2026",
"Hillerød Kommune","219","Andel 25-64-årige","2026",
"Hillerød Kommune","219","Andel 25-64-årige med videregående uddannelse","2026",
"Hillerød Kommune","219","Andel 25-64-årige uden erhvervsuddannelse","2026",
"Hillerød Kommune","219","Andel almennyttige boliger","2026",
"Hillerød Kommune","219","Andel ejerboliger","2026",
"Hillerød Kommune","219","Andel indpendlere","2026",
"Hillerød Kommune","219","Andel udpendlere","2026",
"Hillerød Kommune","219","Befolkningsandel i bymæssig bebyggelse","2026",
"Hillerød Kommune","219","Befolkningstæthed (indb/km2)","2026",
"Hillerød Kommune","219","Fuldtidsledige pr. 100 17-64/66-årige","2026",
"Hillerød Kommune","219","Indbyggertal 1. januar","2026",
"Hillerød Kommune","219","Socioøkonomisk indeks","2026","0.76"
"Hillerød Kommune","219","Statsgar. udskrivningsgrundlag pr. indb. (fra 2007)","2026",
"Hørsholm Kommune","223","Andel 18+-årige","2026",
"Hørsholm Kommune","223","Andel 18-66-årige","2026",
"Hørsholm Kommune","223","Andel 25-64-årige","2026",
"Hørsholm Kommune","223","Andel 25-64-årige med videregående uddannelse","2026",
"Hørsholm Kommune","223","Andel 25-64-årige uden erhvervsuddannelse","2026",
"Hørsholm Kommune","223","Andel almennyttige boliger","2026",
"Hørsholm Kommune","223","Andel ejerboliger","2026",
"Hørsholm Kommune","223","Andel indpendlere","2026",
"Hørsholm Kommune","223","Andel udpendlere","2026",
"Hørsholm Kommune","223","Befolkningsandel i bymæssig bebyggelse","2026",
"Hørsholm Kommune","223","Befolkningstæthed (indb/km2)","2026",
"Hørsholm Kommune","223","Fuldtidsledige pr. 100 17-64/66-årige","2026",
"Hørsholm Kommune","223","Indbyggertal 1. januar","2026",
"Hørsholm Kommune","223","Socioøkonomisk indeks","2026","0.64"
"Hørsholm Kommune","223","Statsgar. udskrivningsgrundlag pr. indb. (fra 2007)","2026",
"Rudersdal Kommune","230","Andel 18+-årige","2026",
"Rudersdal Kommune","230","Andel 18-66-årige","2026",
"Rudersdal Kommune","230","Andel 25-64-årige","2026",
"Rudersdal Kommune","230","Andel 25-64-årige med videregående uddannelse","2026",
"Rudersdal Kommune","230","Andel 25-64-årige uden erhvervsuddannelse","2026",
"Rudersdal Kommune","230","Andel almennyttige boliger","2026",
"Rudersdal Kommune","230","Andel ejerboliger","2026",
"Rudersdal Kommune","230","Andel indpendlere","2026",
"Rudersdal Kommune","230","Andel udpendlere","2026",
"Rudersdal Kommune","230","Befolkningsandel i bymæssig bebyggelse","2026",
"Rudersdal Kommune","230","Befolkningstæthed (indb/km2)","2026",
"Rudersdal Kommune","230","Fuldtidsledige pr. 100 17-64/66-årige","2026",
"Rudersdal Kommune","230","Indbyggertal 1. januar","2026",
"Rudersdal Kommune","230","Socioøkonomisk indeks","2026","0.61"
"Rudersdal Kommune","230","Statsgar. udskrivningsgrundlag pr. indb. (fra 2007)","2026",
"Egedal Kommune","240","Andel 18+-årige","2026",
"Egedal Kommune","240","Andel 18-66-årige","2026",
"Egedal Kommune","240","Andel 25-64-årige","2026",
"Egedal Kommune","240","Andel 25-64-årige med videregående uddannelse","2026",
"Egedal Kommune","240","Andel 25-64-årige uden erhvervsuddannelse","2026",
"Egedal Kommune","240","Andel almennyttige boliger","2026",
"Egedal Kommune","240","Andel ejerboliger","2026",
"Egedal Kommune","240","Andel indpendlere","2026",
"Egedal Kommune","240","Andel udpendlere","2026",
"Egedal Kommune","240","Befolkningsandel i bymæssig bebyggelse","2026",
"Egedal Kommune","240","Befolkningstæthed (indb/km2)","2026",
"Egedal Kommune","240","Fuldtidsledige pr. 100 17-64/66-årige","2026",
"Egedal Kommune","240","Indbyggertal 1. januar","2026",
"Egedal Kommune","240","Socioøkonomisk indeks","2026","0.61"
"Egedal Kommune","240","Statsgar. udskrivningsgrundlag pr. indb. (fra 2007)","2026",
"Frederikssund Kommune","250","Andel 18+-årige","2026",
"Frederikssund Kommune","250","Andel 18-66-årige","2026",
"Frederikssund Kommune","250","Andel 25-64-årige","2026",
"Frederikssund Kommune","250","Andel 25-64-årige med videregående uddannelse","2026",
"Frederikssund Kommune","250","Andel 25-64-årige uden erhvervsuddannelse","2026",
"Frederikssund Kommune","250","Andel almennyttige boliger","2026",
"Frederikssund Kommune","250","Andel ejerboliger","2026",
"Frederikssund Kommune","250","Andel indpendlere","2026",
"Frederikssund Kommune","250","Andel udpendlere","2026",
"Frederikssund Kommune","250","Befolkningsandel i bymæssig bebyggelse","2026",
"Frederikssund Kommune","250","Befolkningstæthed (indb/km2)","2026",
"Frederikssund Kommune","250","Fuldtidsledige pr. 100 17-64/66-årige","2026",
"Frederikssund Kommune","250","Indbyggertal 1. januar","2026",
"Frederikssund Kommune","250","Socioøkonomisk indeks","2026","0.9"
"Frederikssund Kommune","250","Statsgar. udskrivningsgrundlag pr. indb. (fra 2007)","2026",
"Greve Kommune","253","Andel 18+-årige","2026",
"Greve Kommune","253","Andel 18-66-årige","2026",
"Greve Kommune","253","Andel 25-64-årige","2026",
"Greve Kommune","253","Andel 25-64-årige med videregående uddannelse","2026",
"Greve Kommune","253","Andel 25-64-årige uden erhvervsuddannelse","2026",
"Greve Kommune","253","Andel almennyttige boliger","2026",
"Greve Kommune","253","Andel ejerboliger","2026",
"Greve Kommune","253","Andel indpendlere","2026",
"Greve Kommune","253","Andel udpendlere","2026",
"Greve Kommune","253","Befolkningsandel i bymæssig bebyggelse","2026",
"Greve Kommune","253","Befolkningstæthed (indb/km2)","2026",
"Greve Kommune","253","Fuldtidsledige pr. 100 17-64/66-årige","2026",
"Greve Kommune","253","Indbyggertal 1. januar","2026",
"Greve Kommune","253","Socioøkonomisk indeks","2026","0.88"
"Greve Kommune","253","Statsgar. udskrivningsgrundlag pr. indb. (fra 2007)","2026",
"Køge Kommune","259","Andel 18+-årige","2026",
"Køge Kommune","259","Andel 18-66-årige","2026",
"Køge Kommune","259","Andel 25-64-årige","2026",
"Køge Kommune","259","Andel 25-64-årige med videregående uddannelse","2026",
"Køge Kommune","259","Andel 25-64-årige uden erhvervsuddannelse","2026",
"Køge Kommune","259","Andel almennyttige boliger","2026",
"Køge Kommune","259","Andel ejerboliger","2026",
"Køge Kommune","259","Andel indpendlere","2026",
"Køge Kommune","259","Andel udpendlere","2026",
"Køge Kommune","259","Befolkningsandel i bymæssig bebyggelse","2026",
"Køge Kommune","259","Befolkningstæthed (indb/km2)","2026",
"Køge Kommune","259","Fuldtidsledige pr. 100 17-64/66-årige","2026",
"Køge Kommune","259","Indbyggertal 1. januar","2026",
"Køge Kommune","259","Socioøkonomisk indeks","2026","1.01"
